codigo|descricao|subitem_servico
15.17.05-000|Cancelamento de cheques quaisquer, avulso ou por talão|1517
15.17.06-000|Oposição de cheques quaisquer, avulso ou por talão|1517 
15.18.01-000|Avaliação de imóvel|1518
15.18.02-000|Avaliação de obra|1518
15.18.03-000|Vistoria de imóvel|1518
15.18.04-000|Vistoria de obra|1518
15.18.05-000|Análise técnica relacionada ao crédito imobiliário|1518
15.18.06-000|Análise jurídica relacionada ao crédito imobiliário|1518
15.18.07-000|Emissão / reemissão de contrato de crédito imobiliário|1518
15.18.08-000|Alteração de contrato de crédito imobiliário|1518
15.18.09-000|Transferência de contrato de crédito imobiliário|1518
15.18.10-000|Renegociação de contrato de crédito imobiliário|1518
15.18.11-000|Emissão / reemissão de termo de quitação|1518
15.18.12-000|Outros serviços relacionados ao crédito imobiliário|1518
17.01.01-000|Assessoria de qualquer natureza|1701
17.01.02-000|Consultoria de qualquer natureza|1701
17.01.03-000|Análise, exame, fornecimento de dados e informações de qualquer natureza|1701 
17.02.01-000|Serviços de expediente|1702
17.02.02-000|Serviços de apoio e infra-estrutura administrativa e congêneres|1702 
17.03.01-000|Serviços de planejamento, coordenação, programação ou organização técnica|1703
17.03.02-000|Serviços de planejamento, coordenação, programação ou organização financeira|1703
17.03.03-000|Serviços de planejamento, coordenação, programação ou organização administrativa|1703 
17.05.01-000|Fornecimento de mão-de-obra, em caráter temporário ou permanente|1705
17.06.01-000|Propaganda e publicidade, inclusive promoção de vendas, planejamento de campanhas ou sistemas de publicidade, elaboração de desenhos, textos e demais materiais publicitários.|1706 
17.09.01-000|Serviços de perícias|1709
17.09.02-000|Serviços de laudos|1709
17.09.03-000|Serviços de exames técnicos|1709
17.09.04-000|Serviços de análises técnicas|1709 
17.12.01-000|Administração em geral de bens e negócios de terceiros|1712 
17.13.01-000|Leilão e congêneres|1713| 
17.16.01-000|Auditoria|1716
17.19.01-000|Contabilidade, inclusive serviços técnicos e auxiliares|1719
17.20.01-000|Consultoria econômica|1720
17.20.02-000|Assessoria econômica|1720
17.20.03-000|Consultoria financeira|1720
17.20.04-000|Assessoria financeira|1720
18.01.01-000|Serviços de regulação de sinistros vinculados a contratos de seguros|1801
18.01.02-000|Serviços de inspeção e avaliação de riscos para cobertura de contratos de seguros|1801
18.01.03-000|Serviços de prevenção e gerência de riscos seguráveis e congêneres.|1801
19.01.01-000|Serviços de distribuição de bilhetes e demais produtos de loteria, cartões, pules ou cupons de apostas, sorteios, prêmios, inclusive os decorrentes de títulos de capitalização e congêneres|1901
19.01.02-000|Serviços de vendas de bilhetes e demais produtos de loteria, cartões, pules ou cupons de apostas, sorteios, prêmios, inclusive os decorrentes de títulos de capitalização e congêneres|1901
19.01.03-000|Serviços de distribuição de bilhetes e demais produtos de bingos.|1901
19.01.04-000|Serviços de vendas de bilhetes e demais produtos de bingos.|1901 
26.01.01-000|Serviços de coleta de bens ou valores|2601
26.01.02-000|Serviços de remessa de bens ou valores|2601
26.01.03-000|Serviços de entrega de bens ou valores|2601
26.01.04-000|Serviços de courrier e congêneres|2601 
28.01.01-000|Serviços de avaliação de bens e serviços de qualquer natureza|2801
