conta|data_criacao_conta|data_extincao_conta|conta_superior|nome_conta|descricao_funcao_conta
71510000|1988-06-01|NULL|71500003|RENDAS DE TITULOS DE RENDA FIXA|Registrar as rendas de títulos de renda fixa, que constituam receita efetiva da instituição, no período. Esta conta requer os seguintes subtítulos de uso interno:- Letras do Banco Central - Letras do Tesouro Nacional - Obrigações do Tesouro Nacional - Títulos Estaduais e Municipais - Certificados de Depósito Bancário - Letras de Câmbio - Letras Hipotecárias - Letras Imobiliárias - Debêntures - Obrigações da Eletrobrás - Títulos da Dívida Agrária - Cédulas Hipotecárias - Cotas de Fundos de Renda Fixa - Outros.
71513007|2013-12-01|NULL|71500003|RENDAS DE CERTIFICADOS DE OPERACOES ESTRUTURADAS|Registrar as rendas referentes ao componente de aplicação em COE.
71515005|1997-02-01|NULL|71500003|RENDAS DE TITS. E VALORES MOBILIARIOS NO EXTERIOR|Registrar as rendas de aplicações em títulos e valores mobiliários, no exterior.
71520007|1988-06-01|NULL|71500003|RENDAS DE TITULOS DE RENDA VARIAVEL|Registrar as rendas de títulos de renda variável, que constituam receita efetiva da instituição, no período. Esta conta requer os seguintes subtítulos de uso interno:- Ações de Companhias Abertas - Ações de Companhias Fechadas - Cotas de Fundos de Renda Variável - Outros.
71530004|1988-06-01|NULL|71500003|RENDAS DE PARTICIPACOES SOCIETARIAS|Registrar as rendas de participações societárias mantidas pela instituição, pertencentes ao período em curso.
71540001|1991-03-01|NULL|71500003|RENDAS DE APLICACOES EM FUNDOS DE INVESTIMENTO|Registrar as rendas de fundos de investimento, que constituam receita efetiva da instituição, no período. Exemplos de subtítulos de uso interno:- Fundos de Aplicação Financeira - Fundos Mútuos de Renda Fixa - Outros.
71550008|1991-03-01|NULL|71500003|RENDAS DE APLICACOES NO FUNDO DE DESENV SOCIAL|Registrar as rendas do Fundo de Desenvolvimento Social, que constituam receita efetiva da instituição, no período.
71560005|1991-05-01|NULL|71500003|RENDAS DE APLIC EM TITS DE DESENVOLV ECONOMICO|Registrar as rendas de aplicações em títulos de desenvolvimento econômico, que constituam receita efetiva da instituição, no período.
71570002|1993-07-01|NULL|71500003|RENDAS DE APLICACOES EM OURO|Registrar os ajustes positivos nas aplicações temporárias em ouro, que constituam receita efetiva da instituição, no período.
71575007|1998-05-01|NULL|71500003|LUCROS COM TITULOS DE RENDA FIXA|Registrar os lucros apurados na venda definitiva de títulos de renda fixa.
71580009|1995-07-01|NULL|71500003|RENDAS EM OPERACOES COM DERIVATIVOS|Registrar as rendas em operações com instrumentos financeiros derivativos de acordo com a modalidade, inclusive os ajustes positivos ao valor de mercado.
71580119|2002-04-01|NULL|71580009|SWAP|Registrar as rendas em operações com instrumentos financeiros derivativos de acordo com a modalidade, inclusive os ajustes positivos ao valor de mercado.
71580126|2013-12-01|NULL|71580009|SWAP - COE|Registrar as rendas em operações com instrumentos financeiros derivativos de acordo com a modalidade, inclusive os ajustes positivos ao valor de mercado.
71580133|2002-04-01|NULL|71580009|Swap - Hedge de Titulo Mantido ate o Vencimento Registrar as rendas em operações com instrumentos financeiros derivativos de acordo com a modalidade, inclusive os ajustes positivos ao valor de mercado.|
71580212|2002-04-01|NULL|71580009|TERMO|Registrar as rendas em operações com instrumentos financeiros derivativos de acordo com a modalidade, inclusive os ajustes positivos ao valor de mercado.
71580229|2013-12-01|NULL|71580009|TERMO - COE|Registrar as rendas em operações com instrumentos financeiros derivativos de acordo com a modalidade, inclusive os ajustes positivos ao valor de mercado.
71580236|2002-04-01|NULL|71580009|Termo - Hedge de Titulo Mantido ate o Vencimento Registrar as rendas em operações com instrumentos financeiros derivativos de acordo com a modalidade, inclusive os ajustes positivos ao valor de mercado.|
71580315|2002-04-01|NULL|71580009|FUTURO|Registrar as rendas em operações com instrumentos financeiros derivativos de acordo com a modalidade, inclusive os ajustes positivos ao valor de mercado.
71580339|2002-04-01|NULL|71580009|Futuro - Hedge de Titulo Mantido ate o Vencimento Registrar as rendas em operações com instrumentos financeiros derivativos de acordo com a modalidade, inclusive os ajustes positivos ao valor de mercado.|
71580391|2005-07-01|NULL|71580009|OPÇÕES - AÇÕES|Registrar as rendas em operações com instrumentos financeiros derivativos de acordo com a modalidade, inclusive os ajustes positivos ao valor de mercado.
71580401|1995-07-01|NULL|71580009|OPCOES - ACOES - COE|Registrar as rendas em operações com instrumentos financeiros derivativos de acordo com a modalidade, inclusive os ajustes positivos ao valor de mercado.
71580418|2002-04-01|NULL|71580009|OPCOES - ATIVOS FINANCEIROS E MERCADORIAS - COE|Registrar as rendas em operações com instrumentos financeiros derivativos de acordo com a modalidade, inclusive os ajustes positivos ao valor de mercado.
71580425|2005-07-01|NULL|71580009|OPÇÕES - ATIVOS FINANCEIROS E MERCADORIAS|Registrar as rendas em operações com instrumentos financeiros derivativos de acordo com a modalidade, inclusive os ajustes positivos ao valor de mercado.
71580432|2002-04-01|NULL|71580009|Opcoes - Hedge de Titulo Mantido ate o Vencimento Registrar as rendas em operações com instrumentos financeiros derivativos de acordo com a modalidade, inclusive os ajustes positivos ao valor de mercado.|
71580504|1999-11-01|NULL|71580009|INTERMEDIACAO DE &quot;SWAP&quot;|Registrar as rendas em operações com instrumentos financeiros derivativos de acordo com a modalidade, inclusive os ajustes positivos ao valor de mercado.
71580607|2003-01-01|NULL|71580009|DERIVATIVOS DE CREDITO|Registrar as rendas em operações com instrumentos financeiros derivativos de acordo com a modalidade, inclusive os ajustes positivos ao valor de mercado.
71580638|2003-01-01|NULL|71580009|DERIVATIVOS CRED.-HEDGE TIT. MANT. ATE O VENCIMEN. Registrar as rendas em operações com instrumentos financeiros derivativos de acordo com a modalidade, inclusive os ajustes positivos ao valor de mercado.|
71580906|1995-07-01|NULL|71580009|OUTROS|Registrar as rendas em operações com instrumentos financeiros derivativos de acordo com a modalidade, inclusive os ajustes positivos ao valor de mercado.
71580913|2013-12-01|NULL|71580009|OUTROS - COE|Registrar as rendas em operações com instrumentos financeiros derivativos de acordo com a modalidade, inclusive os ajustes positivos ao valor de mercado.
71590006|2002-04-01|NULL|71500003|TVM - AJUSTE POSITIVO AO VALOR DE MERCADO|Registrar as valorizações decorrentes do ajuste ao valor de mercado dos títulos e valores mobiliários classificados na categoria títulos para negociação, bem como dos valores positivos transferidos ao resultado do período daqueles classificados na categoria títulos disponíveis para venda por ocasião da venda definitiva ou transferência de categoria, tendo como contrapartida a adequada conta patrimonial.
71590109|2002-04-01|NULL|71590006|TITULOS PARA NEGOCIACAO|Registrar as valorizações decorrentes do ajuste ao valor de mercado dos títulos e valores mobiliários classificados na categoria títulos para negociação, bem como dos valores positivos transferidos ao resultado do período daqueles classificados na categoria títulos disponíveis para venda por ocasião da venda definitiva ou transferência de categoria, tendo como contrapartida a adequada conta patrimonial.
71590202|2002-04-01|NULL|71590006|TITULOS DISPONIVEIS PARA VENDA|Registrar as valorizações decorrentes do ajuste ao valor de mercado dos títulos e valores mobiliários classificados na categoria títulos para negociação, bem como dos valores positivos transferidos ao resultado do período daqueles classificados na categoria títulos disponíveis para venda por ocasião da venda definitiva ou transferência de categoria, tendo como contrapartida a adequada conta patrimonial.
71700009|1988-06-01|NULL|71000008|RENDAS DE PRESTACAO DE SERVICOS|
71710006|1988-06-01|NULL|71700009|RENDAS DE ADMINISTRACAO DE FUNDOS DE INVESTIMENTO|Registrar as rendas de serviços de administração de fundos de investimento cobrados de pessoas jurídicas, que constituam receita efetiva da instituição no período
71715001|1988-06-01|NULL|71700009|RENDAS DE ADMINISTRACAO DE FUNDOS E PROGRAMAS|Registrar as rendas de administração de fundos e programas, que constituam receita efetiva da instituição, no período.
71720003|1988-06-01|NULL|71700009|RENDAS DE ADMINISTRACAO DE LOTERIAS|Registrar as rendas de administração de loterias, que constituam receita efetiva da instituição, no período.
71725008|1988-06-01|NULL|71700009|RENDAS DE ADMINISTR DE SOCIEDADES DE INVESTIMENTO|Registrar as rendas de serviços de administração de sociedades de investimento, que constituam receita efetiva da instituição, no período.
71730000|1988-06-01|NULL|71700009|RENDAS DE ASSESSORIA TECNICA|Registrar as rendas de assessoria técnica, que constituam receita efetiva da instituição, no período.
71735005|1991-08-01|NULL|71700009|RENDAS DE TAXAS DE ADMINISTRACAO DE CONSORCIOS|Registrar as rendas de taxas de administração de consórcios das sociedades administradoras de consórcios.
71740007|1988-06-01|NULL|71700009|RENDAS DE COBRANCA|Registrar as rendas de tarifas, portes e comissões por prestação de serviço de cobrança, que constituam receita efetiva da instituição, no período.
71745002|1988-06-01|NULL|71700009|RENDAS DE COMISSOES DE COLOCACAO DE TITULOS|Registrar as rendas de tarifas e comissões pela prestação de serviços de colocação de títulos e valores mobiliários por conta e ordem de terceiros, que constituam receita efetiva da instituição, no período. Ver item 1.15.1.4 das Normas Básicas relativamente aos critérios de apropriação das comissões de corretagem e taxas de colocação de títulos.
71750004|1988-06-01|NULL|71700009|RENDAS DE CORRETAGENS DE CAMBIO|Registrar as rendas de serviços cobrados de pessoas jurídicas pela contratação de operações de câmbio, que constituam receita efetiva da instituição no período.
71755009|2000-03-01|NULL|71700009|RENDAS DE ADMINISTRACAO DE ATIVOS REDESCONTADOS|Registrar a comissão del credere relativa à administração de ativos redescontados junto ao Banco Central do Brasil, que deve ser apropriada em razão do prazo contratual.
71760001|1988-06-01|NULL|71700009|RENDAS DE CORRETAGENS DE OPERACOES EM BOLSAS|Registrar as rendas de serviços cobrados de pessoas jurídicas pela intermediação de operações em bolsas, que constituam receita efetiva da instituição no período.
71770008|1988-06-01|NULL|71700009|RENDAS DE SERVICOS DE CUSTODIA|Registrar as rendas de serviços de custódia cobrados de pessoas jurídicas, que constituam receita efetiva da instituição no período.
71780005|1988-06-01|NULL|71700009|RENDAS DE SERVICOS PRESTADOS A LIGADAS|Registrar as rendas de serviços prestados a sociedades ligadas, que constituam receita efetiva da instituição, no período.
71790002|1988-06-01|NULL|71700009|RENDAS DE TRANSFERENCIA DE FUNDOS|Registrar as rendas de serviços de ordens de pagamento, ordens de crédito e transferências de fundos, cobrados de pessoas jurídicas, que constituam receita efetiva da instituição no período.
71794008|2011-03-01|NULL|71700009|RENDAS DE PACOTES DE SERVICOS - PF|Registrar as rendas de tarifas cobradas de pessoas naturais por pacotes de serviços que constituam receita efetiva no período, devendo a instituição financeira manter controles internos que possibilitem a identificação das rendas por agência.
71795007|2008-01-01|NULL|71700009|RENDAS DE SERVICOS PRIORITARIOS - PF|Registrar as rendas de tarifas cobradas de pessoas naturais por serviços prioritários padronizados nos termos da Tabela I anexa à Resolução nº 3.919, de 2010, que constituam receita efetiva no período, devendo a instituição financeira manter controles internos que possibilitem a identificação das rendas por agência.
71795014|2008-01-01|NULL|71795007|CONFECÇÃO DE CADASTRO|Registrar as rendas de tarifas cobradas de pessoas naturais por serviços prioritários padronizados nos termos da Tabela I anexa à Resolução nº 3.919, de 2010, que constituam receita efetiva no período, devendo a instituição financeira manter controles internos que possibilitem a identificação das rendas por agência.
71795038|2008-01-01|NULL|71795007|FORNEC. DE 2ª VIA DE CARTÃO MAG. COM FUNÇÃO DÉBITO|Registrar as rendas de tarifas cobradas de pessoas naturais por serviços prioritários padronizados nos termos da Tabela I anexa à Resolução nº 3.919, de 2010, que constituam receita efetiva no período, devendo a instituição financeira manter controles internos que possibilitem a identificação das rendas por agência.
71795045|2008-01-01|NULL|71795007|FORNEC. DE 2ª VIA CARTÃO MAG. DE CONTA DE POUPANÇA|Registrar as rendas de tarifas cobradas de pessoas naturais por serviços prioritários padronizados nos termos da Tabela I anexa à Resolução nº 3.919, de 2010, que constituam receita efetiva no período, devendo a instituição financeira manter controles internos que possibilitem a identificação das rendas por agência.
71795052|2008-01-01|NULL|71795007|EXCLUSÃO DO CADASTRO EMITENTES CHEQUES SEM_FUNDOS|Registrar as rendas de tarifas cobradas de pessoas naturais por serviços prioritários padronizados nos termos da Tabela I anexa à Resolução nº 3.919, de 2010, que constituam receita efetiva no período, devendo a instituição financeira manter controles internos que possibilitem a identificação das rendas por agência.
71795069|2008-01-01|NULL|71795007|CONTRA-ORDEM, OPOSIÇÃO E SUSTAÇÃO DE CHEQUES|Registrar as rendas de tarifas cobradas de pessoas naturais por serviços prioritários padronizados nos termos da Tabela I anexa à Resolução nº 3.919, de 2010, que constituam receita efetiva no período, devendo a instituição financeira manter controles internos que possibilitem a identificação das rendas por agência.
71795076|2008-01-01|NULL|71795007|FORNECIMENTO DE FOLHAS DE CHEQUE|Registrar as rendas de tarifas cobradas de pessoas naturais por serviços prioritários padronizados nos termos da Tabela I anexa à Resolução nº 3.919, de 2010, que constituam receita efetiva no período, devendo a instituição financeira manter controles internos que possibilitem a identificação das rendas por agência.
71795083|2008-01-01|NULL|71795007|CHEQUE ADMINISTRATIVO|Registrar as rendas de tarifas cobradas de pessoas naturais por serviços prioritários padronizados nos termos da Tabela I anexa à Resolução nº 3.919, de 2010, que constituam receita efetiva no período, devendo a instituição financeira manter controles internos que possibilitem a identificação das rendas por agência.
71795100|2008-01-01|NULL|71795007|CHEQUE VISADO|Registrar as rendas de tarifas cobradas de pessoas naturais por serviços prioritários padronizados nos termos da Tabela I anexa à Resolução nº 3.919, de 2010, que constituam receita efetiva no período, devendo a instituição financeira manter controles internos que possibilitem a identificação das rendas por agência.
71795117|2008-01-01|NULL|71795007|SAQUE DE CONTA DE DEPÓSITOS À VISTA E DE POUPANÇA|Registrar as rendas de tarifas cobradas de pessoas naturais por serviços prioritários padronizados nos termos da Tabela I anexa à Resolução nº 3.919, de 2010, que constituam receita efetiva no período, devendo a instituição financeira manter controles internos que possibilitem a identificação das rendas por agência.
71795124|2008-01-01|NULL|71795007|DEPÓSITO IDENTIFICADO|Registrar as rendas de tarifas cobradas de pessoas naturais por serviços prioritários padronizados nos termos da Tabela I anexa à Resolução nº 3.919, de 2010, que constituam receita efetiva no período, devendo a instituição financeira manter controles internos que possibilitem a identificação das rendas por agência.
71795131|2008-01-01|NULL|71795007|FORNECIMENTO DE EXTRATO MENSAL OU DE PERÍODO|Registrar as rendas de tarifas cobradas de pessoas naturais por serviços prioritários padronizados nos termos da Tabela I anexa à Resolução nº 3.919, de 2010, que constituam receita efetiva no período, devendo a instituição financeira manter controles internos que possibilitem a identificação das rendas por agência.
71795148|2008-01-01|NULL|71795007|FORNECIMENTO MICROFILME,MICROFICHA OU ASSEMELHADOS|Registrar as rendas de tarifas cobradas de pessoas naturais por serviços prioritários padronizados nos termos da Tabela I anexa à Resolução nº 3.919, de 2010, que constituam receita efetiva no período, devendo a instituição financeira manter controles internos que possibilitem a identificação das rendas por agência.
71795155|2008-01-01|NULL|71795007|TRANSFERÊNCIA POR MEIO DE DOC/TED|Registrar as rendas de tarifas cobradas de pessoas naturais por serviços prioritários padronizados nos termos da Tabela I anexa à Resolução nº 3.919, de 2010, que constituam receita efetiva no período, devendo a instituição financeira manter controles internos que possibilitem a identificação das rendas por agência.
71795162|2008-01-01|NULL|71795007|TRANSFERÊNCIA AGENDADA POR MEIO DE DOC/TED|Registrar as rendas de tarifas cobradas de pessoas naturais por serviços prioritários padronizados nos termos da Tabela I anexa à Resolução nº 3.919, de 2010, que constituam receita efetiva no período, devendo a instituição financeira manter controles internos que possibilitem a identificação das rendas por agência.
71795179|2008-01-01|NULL|71795007|TRANSFERÊNCIA ENTRE CONTAS DA PRÓPRIA INSTITUIÇÃO|Registrar as rendas de tarifas cobradas de pessoas naturais por serviços prioritários padronizados nos termos da Tabela I anexa à Resolução nº 3.919, de 2010, que constituam receita efetiva no período, devendo a instituição financeira manter controles internos que possibilitem a identificação das rendas por agência.
71795186|2008-01-01|NULL|71795007|ORDEM DE PAGAMENTO|Registrar as rendas de tarifas cobradas de pessoas naturais por serviços prioritários padronizados nos termos da Tabela I anexa à Resolução nº 3.919, de 2010, que constituam receita efetiva no período, devendo a instituição financeira manter controles internos que possibilitem a identificação das rendas por agência.
71795193|2008-01-01|NULL|71795007|CONCESSÃO DE ADIANTAMENTO A DEPOSITANTE|Registrar as rendas de tarifas cobradas de pessoas naturais por serviços prioritários padronizados nos termos da Tabela I anexa à Resolução nº 3.919, de 2010, que constituam receita efetiva no período, devendo a instituição financeira manter controles internos que possibilitem a identificação das rendas por agência.
71795203|2011-03-01|NULL|71795007|CARTAO DE CREDITO BASICO - ANUIDADE|Registrar as rendas de tarifas cobradas de pessoas naturais por serviços prioritários padronizados nos termos da Tabela I anexa à Resolução nº 3.919, de 2010, que constituam receita efetiva no período, devendo a instituição financeira manter controles internos que possibilitem a identificação das rendas por agência.
71795210|2011-03-01|NULL|71795007|FORNECIMENTO DE 2 VIA DE CARTAO COM FUNCAO CREDITO|Registrar as rendas de tarifas cobradas de pessoas naturais por serviços prioritários padronizados nos termos da Tabela I anexa à Resolução nº 3.919, de 2010, que constituam receita efetiva no período, devendo a instituição financeira manter controles internos que possibilitem a identificação das rendas por agência.
71795227|2011-03-01|NULL|71795007|UTIL CAN ATEND P/RETIRADA ESPECIE - CARTAO CREDITO|Registrar as rendas de tarifas cobradas de pessoas naturais por serviços prioritários padronizados nos termos da Tabela I anexa à Resolução nº 3.919, de 2010, que constituam receita efetiva no período, devendo a instituição financeira manter controles internos que possibilitem a identificação das rendas por agência.
71795234|2011-03-01|NULL|71795007|PAGAMENTO DE CONTAS UTILIZANDO A FUNCAO CREDITO|Registrar as rendas de tarifas cobradas de pessoas naturais por serviços prioritários padronizados nos termos da Tabela I anexa à Resolução nº 3.919, de 2010, que constituam receita efetiva no período, devendo a instituição financeira manter controles internos que possibilitem a identificação das rendas por agência.
